[]
[('かがやくリザードン', 'K', '炎', '015/172', 'S12a')]
[('かがやくゲッコウガ', 'K', '水', '033/172', 'S12a')]
[('ギラティナV', 'RR', 'ドラゴン', '110/172', 'S12a')]
[('ギラティナVSTAR', 'RRR', 'ドラゴン', '111/172', 'S12a')]
[('アルセウスV', 'RR', '無', '126/172', 'S12a')]
[('アルセウスVSTAR', 'RRR', '無', '127/172', 'S12a')]
[('マナフィ', 'AR', '水', '178/172', 'S12a')]
[('ミュウ', 'AR', '超', '183/172', 'S12a')]
[('デオキシス', 'AR', '超', '185/172', 'S12a')]
[('ディアンシー', 'AR', '超', '186/172', 'S12a')]
[('キュワワー', 'AR', '超', '187/172', 'S12a')]
[('ガラルファイヤー', 'AR', '悪', '190/172', 'S12a')]
[('ラティアス', 'AR', 'ドラゴン', '195/172', 'S12a')]
[('リオル', 'AR', '闘', '201/172', 'S12a')]
[('チルット', 'AR', '無', '202/172', 'S12a')]
[('ヨマワル', 'AR', '超', '203/172', 'S12a')]
[('ビッパ', 'AR', '無', '204/172', 'S12a')]
[('ピカチュウ', 'AR', '雷', '205/172', 'S12a')]
[('ナエトル', 'AR', '草', '206/172', 'S12a')]
[('パラス', 'AR', '草', '207/172', 'S12a')]
[('ポチエナ', 'AR', '悪', '208/172', 'S12a')]
[('メリープ', 'AR', '雷', '209/172', 'S12a')]
[('リーフィアVSTAR', 'SAR', '草', '210/172', 'S12a')]
[('リザードンV', 'SAR', '炎', '211/172', 'S12a')]
[('リザードンVSTAR', 'SAR', '炎', '212/172', 'S12a')]
[('エンテイV', 'SAR', '炎', '213/172', 'S12a')]
[('バオッキーVSTAR', 'SAR', '炎', '214/172', 'S12a')]
[('スイクンV', 'SAR', '水', '215/172', 'S12a')]
[('ネオラントV', 'SAR', '水', '216/172', 'S12a')]
[('グレイシアVSTAR', 'SAR', '水', '217/172', 'S12a')]
[('ライコウV', 'SAR', '雷', '218/172', 'S12a')]
[('ゼラオラVMAX', 'SAR', '雷', '219/172', 'S12a')]
[('ゼラオラVSTAR', 'SAR', '雷', '220/172', 'S12a')]
[('ミュウツーVSTAR', 'SAR', '超', '221/172', 'S12a')]
[('デオキシスVMAX', 'SAR', '超', '222/172', 'S12a')]
[('デオキシスVSTAR', 'SAR', '超', '223/172', 'S12a')]
[('ブリムオンVMAX', 'SAR', '超', '224/172', 'S12a')]
[('ザシアンV', 'SAR', '超', '225/172', 'S12a')]
[('ルカリオVSTAR', 'SAR', '闘', '226/172', 'S12a')]
[('ドラピオンV', 'SAR', '悪', '227/172', 'S12a')]
[('ダークライVSTAR', 'SAR', '悪', '228/172', 'S12a')]
[('ヒスイダイケンキV', 'SAR', '悪', '229/172', 'S12a')]
[('ヒスイダイケンキVSTAR', 'SAR', '悪', '230/172', 'S12a')]
[('フーパV', 'SAR', '悪', '231/172', 'S12a')]
[('ザマゼンタV', 'SAR', '鋼', '232/172', 'S12a')]
[('レジギガスVSTAR', 'SAR', '無', '233/172', 'S12a')]
[('ヒスイゾロアークVSTAR', 'SAR', '無', '234/172', 'S12a')]
[('アクロマの実験', 'SAR', 'サポート', '235/172', 'S12a')]
[('カイ', 'SAR', 'サポート', '236/172', 'S12a')]
[('キバナ', 'SAR', 'サポート', '237/172', 'S12a')]
[('ザクロ', 'SAR', 'サポート', '238/172', 'S12a')]
[('シロナの覇気', 'SAR', 'サポート', '239/172', 'S12a')]
[('セキ', 'SAR', 'サポート', '240/172', 'S12a')]
[('チェレンの気くばり', 'SAR', 'サポート', '241/172', 'S12a')]
[('ツツジ', 'SAR', 'サポート', '242/172', 'S12a')]
[('ナタネの活気', 'SAR', 'サポート', '243/172', 'S12a')]
[('メロン', 'SAR', 'サポート', '244/172', 'S12a')]
[('ウォロ', 'SR', 'サポート', '245/172', 'S12a')]
[('カミツレのきらめき', 'SR', 'サポート', '246/172', 'S12a')]
[('シンオウの仲間たち', 'SR', 'サポート', '247/172', 'S12a')]
[('博士の研究（ナナカマド博士）', 'SR', 'サポート', '248/172', 'S12a')]
[('ヒスイの仲間たち', 'SR', 'サポート', '249/172', 'S12a')]
[('ボスの指令（アカギ）', 'SR', 'サポート', '250/172', 'S12a')]
[('基本草エネルギー:SS後期', 'SR', '基本エネルギー', '251/172', 'S12a')]
[('基本炎エネルギー:SS後期', 'SR', '基本エネルギー', '252/172', 'S12a')]
[('基本水エネルギー:SS後期', 'SR', '基本エネルギー', '253/172', 'S12a')]
[('基本雷エネルギー:SS後期', 'SR', '基本エネルギー', '254/172', 'S12a')]
[('基本超エネルギー:SS後期', 'SR', '基本エネルギー', '255/172', 'S12a')]
[('基本闘エネルギー:SS後期', 'SR', '基本エネルギー', '256/172', 'S12a')]
[('基本悪エネルギー:SS後期', 'SR', '基本エネルギー', '257/172', 'S12a')]
[('基本鋼エネルギー:SS後期', 'SR', '基本エネルギー', '258/172', 'S12a')]
[('オリジンパルキアVSTAR', 'UR', '水', '259/172', 'S12a')]
[('オリジンディアルガVSTAR', 'UR', '鋼', '260/172', 'S12a')]
[('ギラティナVSTAR', 'UR', 'ドラゴン', '261/172', 'S12a')]
[('アルセウスVSTAR', 'UR', '無', '262/172', 'S12a')]
[('ピカチュウ', 'PROMO', '雷', '323/S-P', 'S-P')]
[('リザードンVSTAR', '', '炎', '002/030', 'SO')]
[('レックウザVMAX', '', 'ドラゴン', '016/030', 'SO')]
[('レジエレキV', 'PROMO', '雷', '319/S-P', 'S-P')]
[('アンノーンV', 'PROMO', '超', '320/S-P', 'S-P')]
[('レジドラゴV', 'PROMO', 'ドラゴン', '321/S-P', 'S-P')]
[('ルギアV', 'PROMO', '無', '322/S-P', 'S-P')]
[]
[('ヒスイ', 'ウォーグル(PROMO', '無', '318/S-P', 'S-P')]
[]
[]
[]
[('レジエレキV', 'RR', '雷', '033/098', 'S12')]
[('レジエレキVMAX', 'RRR', '雷', '034/098', 'S12')]
[('ルギアV', 'RR', '無', '079/098', 'S12')]
[('ルギアVSTAR', 'RRR', '無', '080/098', 'S12')]
[('森の封印石', 'R', 'グッズ', '092/098', 'S12')]
[('ブリガロンV', 'SR', '草', '099/098', 'S12')]
[('オムスターV', 'SR', '水', '100/098', 'S12')]
[('レジエレキV', 'SR', '雷', '101/098', 'S12')]
[('アンノーンV', 'SR', '超', '102/098', 'S12')]
[('アンノーンV:SA', 'SR', '超', '103/098', 'S12')]
[('ヒスイウインディV', 'SR', '闘', '104/098', 'S12')]
[('スカタンクV', 'SR', '悪', '105/098', 'S12')]
[('スカタンクV:SA', 'SR', '悪', '106/098', 'S12')]
[('レジドラゴV', 'SR', 'ドラゴン', '107/098', 'S12')]
[('レジドラゴV:SA', 'SR', 'ドラゴン', '108/098', 'S12')]
[('ルギアV', 'SR', '無', '109/098', 'S12')]
[('ルギアV:SA', 'SR', '無', '110/098', 'S12')]
[('さぎょういん', 'SR', 'サポート', '111/098', 'S12')]
[('ジンダイ', 'SR', 'サポート', '112/098', 'S12')]
[('スズナ', 'SR', 'サポート', '113/098', 'S12')]
[('ワタル', 'SR', 'サポート', '114/098', 'S12')]
[('レジエレキVMAX', 'HR', '雷', '115/098', 'S12')]
[('アンノーンVSTAR', 'HR', '超', '116/098', 'S12')]
[('レジドラゴVSTAR', 'HR', 'ドラゴン', '117/098', 'S12')]
[('ルギアVSTAR', 'HR', '無', '118/098', 'S12')]
[('さぎょういん', 'HR', 'サポート', '119/098', 'S12')]
[('ジンダイ', 'HR', 'サポート', '120/098', 'S12')]
[('スズナ', 'HR', 'サポート', '121/098', 'S12')]
[('ワタル', 'HR', 'サポート', '122/098', 'S12')]
[('ルギアVSTAR', 'UR', '無', '123/098', 'S12')]
[('葉隠れポンチョ', 'UR', 'グッズ', '124/098', 'S12')]
[('大口の沼', 'UR', 'スタジアム', '125/098', 'S12')]
[('かがやくフーディン', 'K', '超', '031/068', 'S11a')]
[('かがやくジラーチ', 'K', '鋼', '045/068', 'S11a')]
[('セレナ', 'U', 'サポート', '064/068', 'S11a')]
[('セレナ:ミラー', 'U', 'サポート', '064/068', 'S11a-M')]
[('テールナー', 'CHR', '炎', '069/068', 'S11a')]
[('チルタリス', 'CHR', '無', '074/068', 'S11a')]
[('ジャローダV', 'SR', '草', '075/068', 'S11a')]
[('レシラムV', 'SR', '炎', '076/068', 'S11a')]
[('アローラロコンV', 'SR', '水', '077/068', 'S11a')]
[('クチートV', 'SR', '超', '078/068', 'S11a')]
[('マギアナV', 'SR', '鋼', '079/068', 'S11a')]
[('ホウオウV', 'SR', '無', '080/068', 'S11a')]
[('セレナ', 'SR', 'サポート', '081/068', 'S11a')]
[('ふりそで', 'SR', 'サポート', '082/068', 'S11a')]
[('ミクリ', 'SR', 'サポート', '083/068', 'S11a')]
[('ジャローダV', 'CSR', '草', '084/068', 'S11a')]
[('クチートV', 'CSR', '超', '085/068', 'S11a')]
[('ジャローダVSTAR', 'HR', '草', '086/068', 'S11a')]
[('アローラロコンVSTAR', 'HR', '水', '087/068', 'S11a')]
[('クチートVSTAR', 'HR', '超', '088/068', 'S11a')]
[('セレナ', 'HR', 'サポート', '089/068', 'S11a')]
[('ふりそで', 'HR', 'サポート', '090/068', 'S11a')]
[('ミクリ', 'HR', 'サポート', '091/068', 'S11a')]
[('ジャローダVSTAR', 'UR', '草', '092/068', 'S11a')]
[('エネルギーつけかえ', 'UR', 'グッズ', '093/068', 'S11a')]
[('Vガードエネルギー', 'UR', '特殊エネルギー', '094/068', 'S11a')]
[('ロトムVSTAR', '', '雷', '002/006', 'SP6')]
[('ザシアンVSTAR', '', '鋼', '004/006', 'SP6')]
[('ヤミラミ', 'R', '超', '044/100', 'S11')]
[('ギラティナV', 'RR', 'ドラゴン', '080/100', 'S11')]
[('ギラティナVSTAR', 'RRR', 'ドラゴン', '081/100', 'S11')]
[('マフォクシーV', 'SR', '炎', '101/100', 'S11')]
[('キュレムV', 'SR', '水', '102/100', 'S11')]
[('ロトムV', 'SR', '雷', '103/100', 'S11')]
[('ロトムV:SA', 'SR', '雷', '104/100', 'S11')]
[('プテラV', 'SR', '闘', '105/100', 'S11')]
[('プテラV:SA', 'SR', '闘', '106/100', 'S11')]
[('ドラピオンV', 'SR', '悪', '107/100', 'S11')]
[('ガラルニャイキングV', 'SR', '鋼', '108/100', 'S11')]
[('ガラルニャイキングV:SA', 'SR', '鋼', '109/100', 'S11')]
[('ギラティナV', 'SR', 'ドラゴン', '110/100', 'S11')]
[('ギラティナV:SA', 'SR', 'ドラゴン', '111/100', 'S11')]
[('ピジョットV', 'SR', '無', '112/100', 'S11')]
[('アクロマの実験', 'SR', 'サポート', '113/100', 'S11')]
[('おじょうさま', 'SR', 'サポート', '114/100', 'S11')]
[('ネジキ', 'SR', 'サポート', '115/100', 'S11')]
[('メリッサ', 'SR', 'サポート', '116/100', 'S11')]
[('キュレムVMAX', 'HR', '水', '117/100', 'S11')]
[('プテラVSTAR', 'HR', '闘', '118/100', 'S11')]
[('ドラピオンVSTAR', 'HR', '悪', '119/100', 'S11')]
[('ギラティナVSTAR', 'HR', 'ドラゴン', '120/100', 'S11')]
[('アクロマの実験', 'HR', 'サポート', '121/100', 'S11')]
[('おじょうさま', 'HR', 'サポート', '122/100', 'S11')]
[('ネジキ', 'HR', 'サポート', '123/100', 'S11')]
[('メリッサ', 'HR', 'サポート', '124/100', 'S11')]
[('ギラティナVSTAR', 'UR', 'ドラゴン', '125/100', 'S11')]
[('ロストスイーパー', 'UR', 'グッズ', '126/100', 'S11')]
[('崩れたスタジアム', 'UR', 'スタジアム', '127/100', 'S11')]
[('かがやくフシギバナ', 'K', '草', '004/071', 'S10b')]
[('かがやくリザードン', 'K', '炎', '011/071', 'S10b')]
[('かがやくカメックス', 'K', '水', '018/071', 'S10b')]
[('かがやくイーブイ', 'K', '無', '055/071', 'S10b')]
[('アローラナッシーV', 'SR', '草', '072/071', 'S10b')]
[('ミュウツーV', 'SR', '超', '073/071', 'S10b')]
[('ミュウツーV:SA', 'SR', '超', '074/071', 'S10b')]
[('ローブシンV', 'SR', '闘', '075/071', 'S10b')]
[('ローブシンV:SA', 'SR', '闘', '076/071', 'S10b')]
[('メルメタルV', 'SR', '鋼', '077/071', 'S10b')]
[('カイリューV', 'SR', 'ドラゴン', '078/071', 'S10b')]
[('ケッキングV', 'SR', '無', '079/071', 'S10b')]
[('キャンデラ', 'SR', 'サポート', '080/071', 'S10b')]
[('スパーク', 'SR', 'サポート', '081/071', 'S10b')]
[('博士の研究（ウィロー博士）', 'SR', 'サポート', '082/071', 'S10b')]
[('ブランシェ', 'SR', 'サポート', '083/071', 'S10b')]
[('ミュウツーVSTAR', 'HR', '超', '084/071', 'S10b')]
[('メルメタルVMAX', 'HR', '鋼', '085/071', 'S10b')]
[('カイリューVSTAR', 'HR', 'ドラゴン', '086/071', 'S10b')]
[('キャンデラ', 'HR', 'サポート', '087/071', 'S10b')]
[('スパーク', 'HR', 'サポート', '088/071', 'S10b')]
[('博士の研究（ウィロー博士）', 'HR', 'サポート', '089/071', 'S10b')]
[('ブランシェ', 'HR', 'サポート', '090/071', 'S10b')]
[('ミュウツーVSTAR', 'UR', '超', '091/071', 'S10b')]
[('ふかそうち', 'UR', 'グッズ', '092/071', 'S10b')]
[('ルアーモジュール', 'UR', 'グッズ', '093/071', 'S10b')]
[('ピカチュウ', 'CHR', '雷', '073/071', 'S10a')]
[('ゲンガー', 'CHR', '超', '074/071', 'S10a')]
[('ヒスイマルマインV', 'SR', '草', '078/071', 'S10a')]
[('ジバコイルV', 'SR', '雷', '079/071', 'S10a')]
[('ラブトロスV', 'SR', '超', '080/071', 'S10a')]
[('エルレイドV', 'SR', '闘', '081/071', 'S10a')]
[('ヒスイヌメルゴンV', 'SR', 'ドラゴン', '082/071', 'S10a')]
[('ヒスイゾロアークV', 'SR', '無', '083/071', 'S10a')]
[('ウォロ', 'SR', 'サポート', '084/071', 'S10a')]
[('ススキ', 'SR', 'サポート', '085/071', 'S10a')]
[('ヒナツ', 'SR', 'サポート', '086/071', 'S10a')]
[('野盗三姉妹', 'SR', 'サポート', '087/071', 'S10a')]
[('ラブトロスV', 'CSR', '超', '088/071', 'S10a')]
[('エルレイドV', 'CSR', '闘', '089/071', 'S10a')]
[('ジバコイルVSTAR', 'HR', '雷', '090/071', 'S10a')]
[('ヒスイヌメルゴンVSTAR', 'HR', 'ドラゴン', '091/071', 'S10a')]
[('ヒスイゾロアークVSTAR', 'HR', '無', '092/071', 'S10a')]
[('ウォロ', 'HR', 'サポート', '093/071', 'S10a')]
[('ススキ', 'HR', 'サポート', '094/071', 'S10a')]
[('ヒナツ', 'HR', 'サポート', '095/071', 'S10a')]
